state,district,chamber,cycleYear,totalAgainst,rowCount
SD,,HOUSE,2018,311637.00,2
CA,16,HOUSE,2018,282668.00,1
FL,10,HOUSE,2018,272017.00,1
TX,6,HOUSE,2020,250522.00,3
NM,1,HOUSE,2018,236664.00,4
CA,4,HOUSE,2020,211188.00,1
SD,,HOUSE,2022,189182.00,2
UT,3,HOUSE,2018,176040.00,4
MO,1,HOUSE,2022,170602.00,1
CA,50,HOUSE,2018,166465.00,7
GA,,SENATE,2024,163433.00,3
PA,7,HOUSE,2020,162689.00,6
IN,9,HOUSE,2018,158601.00,2
AZ,8,HOUSE,2018,158246.00,3
OH,13,HOUSE,2018,148498.00,2
VA,10,HOUSE,2022,124490.00,8
CA,20,HOUSE,2022,119203.00,6
GA,14,HOUSE,2020,113997.00,6
MO,1,HOUSE,2020,110849.00,2
CA,10,HOUSE,2018,110750.00,7
NJ,8,HOUSE,2018,100000.00,1
AL,2,HOUSE,2018,93835.00,3
FL,7,HOUSE,2020,89715.00,2
NY,17,HOUSE,2020,89532.00,3
AK,,HOUSE,2018,85840.00,4
WY,,HOUSE,2018,79125.00,2
OH,13,HOUSE,2020,75113.00,2
OR,5,HOUSE,2020,70978.00,1
NY,23,HOUSE,2020,66205.00,3
AK,,HOUSE,2022,63431.00,12
NC,3,HOUSE,2018,62763.00,2
IN,2,HOUSE,2018,61793.00,3
WA,5,HOUSE,2018,60455.00,7
MN,3,HOUSE,2020,60243.00,3
CO,5,HOUSE,2018,59061.00,4
TX,32,HOUSE,2026,58611.00,2
CA,7,HOUSE,2018,53163.00,1
NJ,3,HOUSE,2022,52454.00,2
OH,6,HOUSE,2020,49500.00,2
CA,22,HOUSE,2020,36470.00,6
NH,,SENATE,2018,36210.00,3
CA,1,HOUSE,2018,35836.00,6
FL,1,HOUSE,2022,34267.00,7
TX,22,HOUSE,2018,32456.00,2
MO,,SENATE,2020,29775.00,1
MD,,SENATE,2018,29650.00,1
CA,1,HOUSE,2020,29271.00,4
WI,5,HOUSE,2018,28859.00,2
OK,,SENATE,2020,28587.00,4
GA,14,HOUSE,2026,26500.00,1
OH,16,HOUSE,2022,26333.00,2
FL,18,HOUSE,2020,25000.00,1
CA,8,HOUSE,2018,24498.00,4
CA,20,HOUSE,2020,23796.00,2
NY,27,HOUSE,2018,23725.00,6
VA,4,HOUSE,2022,23408.00,4
FL,1,HOUSE,2020,22220.00,4
NY,23,HOUSE,2018,21756.00,2
PA,12,HOUSE,2020,19360.00,2
NJ,11,HOUSE,2020,16818.00,1
CA,10,HOUSE,2020,15613.00,2
