rank,committeeId,name,connectedOrg,committeeType,orgType,totalCountsAgainst,contribCount
114,C00545236,NEW VOICE PAC,,Q,,245450.00,124
115,C00745554,RIGHTON TIME,,O,,244278.00,1
116,C00020818,(unknown),,,,240375.00,2
117,C00776823,GRASSROOTS ORGANIZING WINS (GROWPAC),NONE,O,,239516.00,4
118,C00521823,THE RIGHT GROUP,NONE,Q,,238900.00,70
119,C00454074,TEAPARTYEXPRESS.ORG,,Q,,238525.00,161
120,C00803593,BUILDING AMERICA'S ECONOMY,NONE,V,,236901.00,4
121,C00375451,MOVING AMERICA FORWARD,,Q,,235446.00,51
122,C00641571,TEXANS FOR TEXAS,,O,,235219.00,1
123,C00675207,OUR VALUES POLITICAL ACTION COMMITTEE,,O,,234983.00,1
124,C00366666,COMMITTEE FOR LEADERSHIP AND PROGRESS,,Q,,234879.00,154
125,C00757344,MAKING A DIFFERENCE PAC,,Q,,233200.00,175
126,C00759316,THE VOTER ACCOUNTABILITY PROJECT,,O,,230543.00,1
127,C00425645,"ATLAS PAC, FEDERAL",NONE,W,,230068.00,4
128,C00570770,RURAL AMERICA COUNTS PAC (RAC PAC),,Q,,230000.00,92
129,C00765198,LEADING PEOPLE FORWARD PAC,,Q,,229000.00,112
130,C90021700,POWER TO THE POLLS WISCONSIN,,I,,228959.00,1
131,C00767640,RANGER PAC,NONE,Q,,228100.00,61
132,C00814327,FLORIDA TRUST,,O,,226794.00,1
133,C00435024,CENTER FOR SPORTFISHING POLICY POLITICAL ACTION COMMITTEE AKA CENTER PAC,,Q,,225750.00,94
134,C00619528,LOS ANGELES WOMEN'S GIVING COLLECTIVE PAC,NONE,Q,,225500.00,73
135,C90019670,COMMONWEALTH COMMUNICATIONS,,I,,223072.00,19
136,C00524603,KEEP AMERICA ROLLING,,Q,,222600.00,87
137,C00665521,MOUNTAIN CITY PAC,,O,,220869.00,1
138,C00392670,JUSTICE FREEDOM & LIBERTY PAC,,Q,,220500.00,112
139,C00669929,COMMON GOOD PAC,,Q,,219800.00,80
140,C00165548,SAC PAC,,Q,,218000.00,132
141,C00813436,PUBLIC WISE PAC,,V,,217900.00,5
142,C00305805,FREEDOM PROJECT; THE,,Q,,217850.00,127
143,C00144170,LOUISIANIANS FOR AMERICAN SECURITY POLITICAL ACTION COMMITTEE,NONE,Q,,217600.00,81
144,C00567313,VISIONARY LEADERS FUND,,O,,215299.00,2
145,C00724229,VICTORY EAST,,Q,,214800.00,115
146,C00650416,CONSERVATIVE UTAH,,O,,213495.00,1
147,C00376756,SPEAK UP AMERICA POLITICAL ACTION COMMITTEE,,Q,,212850.00,104
148,C00756551,AMERICAN GRIT PAC,,Q,,212800.00,93
149,C00253187,BUFFALO RIVER POLITICAL ACTION COMMITTEE,VALLEY POLITICAL ACTION COMMITTEE,Q,,212516.00,69
150,C00492819,CHESAPEAKE FREEDOM PAC,,Q,,212000.00,69
151,C00657262,GO PAC GO,,Q,,211600.00,53
152,C00536664,DEFENDERS OF FREEDOM AND SECURITY,,W,,210501.00,50
153,C00652164,JERSEY VALUES PAC,,Q,,210500.00,92
154,C00705368,WORKING HARDER PAC,,Q,,208600.00,66
155,C00461624,ARTICLE 1 POLITICAL ACTION COMMITTEE,,N,,207700.00,162
156,C00386847,GOVERN PAC,,Q,,206350.00,131
157,C00752469,THE SOUTHERN STRATEGY,THE COLLECTIVE SUPER PAC,O,,205990.00,4
158,C00566042,FRIENDS OF MEDICAL RESEARCH POLITICAL ACTION COMMITTEE,NONE,Q,,205300.00,56
159,C00527226,WE VOTE - NOSOTROS VOTAMOS - PPAMM COMMITTEE,NONE,O,,204922.00,33
160,C00817775,PINE TREES PAC,,N,,203200.00,71
161,C00623595,PA COMMON SENSE,,O,,202373.00,3
162,C00418582,EMERGEORTHO P.A. POLITICAL ACTION COMMITTEE,,Q,M,202000.00,50
163,C00283523,DALLAS ENTREPRENEUR POLITICAL ACTION COMMITTEE,DALLAS ENTREPRENEURS - SESSIONS 2018 FUND,Q,,200300.00,63
164,C00820357,JOBS & PROSPERITY PAC,NONE,O,,200018.00,2
165,C90021676,A BETTER NC,,I,,200000.00,1
166,C00466870,LEADERSHIP FOR ENTERPRISE AND OPPORTUNITY PAC,NONE,Q,,200000.00,73
167,C00741322,KEEP PA GREAT,,O,,199764.00,1
168,C00746040,OUR VALUES PAC,NONE,O,,199529.00,2
169,C00716423,THE NEXT 50 PAC,NONE,W,,199500.00,32
170,C00675371,PROGRESS IN PA-05,,O,,199358.00,1
171,C90014184,MONTANA NATIVE VOTE,,I,,198999.00,5
172,C00520841,FIGHTIN' NINTH POLITICAL ACTION COMMITTEE,,Q,,198000.00,90
173,C00564385,SUPPORTING UNITED STATES OF AMERICA'S NEXT LEADERS PAC (SUSAN PAC),,Q,,197700.00,96
174,C90019902,NCAAT IN ACTION,,I,,197533.00,9
175,C00390831,JOHN S FUND,,Q,,197500.00,98
176,C00727784,SERVICE FIRST PAC,,Q,,196900.00,95
177,C00717918,FLIP THE SENATE PAC,NONE,O,,196403.00,6
178,C00455923,FEDUP POLITICAL ACTION COMMITTEE AKA FEDUP PAC,,O,,195950.00,11
179,C00745588,PEOPLE FOR GOVERNMENT PAC,NONE,V,,193600.00,6
180,C00347476,CREATING A MAJORITY PARTY ACTION COMMITTEE (C.A.M.P.A.C.),,Q,,193000.00,45
181,C90021726,OHIO CITIZEN ACTION,,I,,192569.00,8
182,C00772491,PROTECTING OUR CONSERVATIVE VALUES PAC,,O,,191928.00,1
183,C00632992,DEVELOPING A NEW GENERATION PAC (DANG PAC),,Q,,191900.00,48
184,C00754408,FAMILIES FOR FREEDOM PAC,NONE,O,,191000.00,4
185,C00635680,DEFENDING RURAL ARIZONA PAC,,O,,190917.00,1
186,C00522458,TOGETHER WE THRIVE,,O,,187988.00,226
187,C00746735,HMS SCRAP PAC,,Q,,187500.00,94
188,C90006446,VIEJAS BAND OF KUMEYAAY INDIANS,,I,,186512.00,2
189,C00461756,AMERICA'S PHYSICIAN GROUPS PAC,AMERICA'S PHYSICIAN GROUPS,Q,M,186500.00,85
190,C00634436,GOLDEN RULE PAC,,N,,186000.00,102
191,C00811331,PRESERVE OUR RIGHTS PAC,,O,,185784.00,3
192,C00759332,THE DISABLED VETERANS COALITION PAC,,O,,185477.00,2
193,C00490896,PATRIOTS FUND,NONE,N,,184685.00,6
194,C90020264,HSLDA ACTION,,I,,183629.00,2
195,C00432765,SILK PAC,,Q,,183500.00,109
196,C00646463,BUCKEYE BATTLE PAC,,O,,183079.00,1
197,C00659771,LUCHADORA PAC,,Q,,182800.00,93
198,C90021304,LUPE VOTES,,I,,182520.00,4
199,C00676429,LIBERTY FOR US SUPER PAC,,O,,182444.00,6
200,C00479188,(unknown),,,,182347.00,1
